case,case_id,docket_id,case_docket_page_link,case_found_by_crawl,case_scraped_rows,case_docs_on_gcs,document_id,document_name,document_status,filed_create,filed_received,document_link,document_confirmation_link,sql_query
case_1293,000354-2021,mqt/Xl32y_PLUS_i_PLUS_Oi3TtmViAA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=mqt/Xl32y_PLUS_i_PLUS_Oi3TtmViAA==&display=all&courtType=Livingston County Supreme Court&resultsPageNum=1,770,770,769,249924,EXHIBIT(S),Processed,04/10/2024,04/10/2024,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=apB3uqDw3bgZ16MIY8DASA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=apB3uqDw3bgZ16MIY8DASA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'mqt/Xl32y_PLUS_i_PLUS_Oi3TtmViAA==' ORDER BY id;"
case_3053,60143/2021,Ckh4Z_PLUS_MzLiolQ4VFW_PLUS_KIFw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Ckh4Z_PLUS_MzLiolQ4VFW_PLUS_KIFw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,653,653,652,320253,EXHIBIT(S),Processed,07/11/2023,07/11/2023,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=3GnWb1pT5HfL_PLUS_iZlPgCOCw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=3GnWb1pT5HfL_PLUS_iZlPgCOCw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Ckh4Z_PLUS_MzLiolQ4VFW_PLUS_KIFw==' ORDER BY id;"
case_4397,608847/2017,uqeci2oKNubMzu5aLNGGWA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=uqeci2oKNubMzu5aLNGGWA==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=3,121,121,120,357076,EXHIBIT(S),Processed,06/10/2021,06/10/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=huuJTRKiH45lvGTCzL2DKw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=huuJTRKiH45lvGTCzL2DKw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'uqeci2oKNubMzu5aLNGGWA==' ORDER BY id;"
case_5880,CA 26-01028,owHOMdEg5QEtU3SlM6wf0g==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=owHOMdEg5QEtU3SlM6wf0g==&display=all&courtType=Appellate Division - 4th Dept&resultsPageNum=15,4,4,3,397973,WITHDRAWAL OR DISCONTINUANCE OF APPEAL OR PROCEEDING 1250.2(B),,09/03/2026,09/03/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=6jwP3/Fsa_PLUS_uJTeMkHaKj6A==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=6jwP3/Fsa_PLUS_uJTeMkHaKj6A==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'owHOMdEg5QEtU3SlM6wf0g==' ORDER BY id;"
case_6613,190064/2025,Z1ml4gy7gWK7c2tBtywtag==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Z1ml4gy7gWK7c2tBtywtag==&display=all&courtType=New York County Supreme Court&resultsPageNum=5,773,773,769,451493,EXHIBIT(S),Processed,08/14/2026,08/14/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=dl7JaOa/plLqgvNL50fw4g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=dl7JaOa/plLqgvNL50fw4g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Z1ml4gy7gWK7c2tBtywtag==' ORDER BY id;"
case_6613,190064/2025,Z1ml4gy7gWK7c2tBtywtag==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Z1ml4gy7gWK7c2tBtywtag==&display=all&courtType=New York County Supreme Court&resultsPageNum=5,773,773,769,451536,EXHIBIT(S),Processed,08/14/2026,08/14/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=TxnDXb7ZePx1rz2Y2MA31g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=TxnDXb7ZePx1rz2Y2MA31g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Z1ml4gy7gWK7c2tBtywtag==' ORDER BY id;"
case_6613,190064/2025,Z1ml4gy7gWK7c2tBtywtag==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Z1ml4gy7gWK7c2tBtywtag==&display=all&courtType=New York County Supreme Court&resultsPageNum=5,773,773,769,451618,EXHIBIT(S),Processed,08/14/2026,08/14/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=rSJljDSXxLmtoLseXk7NkQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=rSJljDSXxLmtoLseXk7NkQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Z1ml4gy7gWK7c2tBtywtag==' ORDER BY id;"
case_6613,190064/2025,Z1ml4gy7gWK7c2tBtywtag==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Z1ml4gy7gWK7c2tBtywtag==&display=all&courtType=New York County Supreme Court&resultsPageNum=5,773,773,769,451735,EXHIBIT(S),Processed,08/14/2026,08/14/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=OSdEy6OLJvxWNyETv_PLUS_3baA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=OSdEy6OLJvxWNyETv_PLUS_3baA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Z1ml4gy7gWK7c2tBtywtag==' ORDER BY id;"
case_8309,155969/2016,CJKf1rH6XLkclQJzyA75EQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CJKf1rH6XLkclQJzyA75EQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,163,163,160,578602,ORDER - PRELIMINARY CONFERENCE,Processed,05/24/2017,05/24/2017,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=lt3VpEvYlcY1RSOtBfqWOw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=lt3VpEvYlcY1RSOtBfqWOw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'CJKf1rH6XLkclQJzyA75EQ==' ORDER BY id;"
case_8309,155969/2016,CJKf1rH6XLkclQJzyA75EQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CJKf1rH6XLkclQJzyA75EQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,163,163,160,578603,ORDER - PRELIMINARY CONFERENCE,Processed,05/24/2017,05/24/2017,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=_PLUS_W/a0xHMP/KQ9AxIiT7ovA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=_PLUS_W/a0xHMP/KQ9AxIiT7ovA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'CJKf1rH6XLkclQJzyA75EQ==' ORDER BY id;"
