case_number,lawsuit_url,documents_listed_count,documents_with_gcs_url
CV-141789-09/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=5OH_PLUS_J3AEhoDXuHIuVyu50g==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
E2022009993,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=DR2Mv81r393yXYRrOha39g==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=11,715,0
E2025007316,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=/4lzFBnpNd9Ja3eVtk4ykg==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=11,1289,0
E2025021142,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=d6mOItcZOKjvlvGLotIKiA==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=13,149,0
E2026-521,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=FEwTl/oqlC4xnlPrMFGzQw==&display=all&courtType=Franklin County Supreme Court&resultsPageNum=11,60,0
E2026004164,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=2QlhCcI4X3NRWxidOIMtmg==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=13,77,0
E2026015025,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=tVizV7dteP_PLUS_sZ03g4FYAFA==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=33,120,0
E2026015712,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=MZ20HZ8H5VAP0qN/vlLWiA==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=33,106,0
EF2022-00000051,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QVJ12oi/SSynMiBUG_PLUS_mUvg==&display=all&courtType=Jefferson County Supreme Court&resultsPageNum=11,190,0
EF2022-0112,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ADUsjfAgrY2SvNnL9TON4Q==&display=all&courtType=Tompkins County Supreme Court&resultsPageNum=11,747,0
EF2022-454,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=If73Iq8KlJQx5B7c_PLUS_zOqGA==&display=all&courtType=Greene County Supreme Court&resultsPageNum=13,40,0
EF2023-505,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=MrMc0cn54cvL5V4KlIR8Rw==&display=all&courtType=Greene County Supreme Court&resultsPageNum=13,20,0
EF2024-542,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=dnFCQyojfyGQcveuS916PA==&display=all&courtType=Greene County Supreme Court&resultsPageNum=13,18,0
EF2025-2428,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=GYAmYhc6_PLUS_B1MU44MZdK71w==&display=all&courtType=Ulster County Supreme Court&resultsPageNum=37,41,0
EF2025-3903,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=kiRUgMy72CKYTMKdJXu81w==&display=all&courtType=Ulster County Supreme Court&resultsPageNum=13,113,0
EF2025-580,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Y1tkRbVPXC0LslP6GPRdEw==&display=all&courtType=Greene County Supreme Court&resultsPageNum=14,15,0
EFCA2022-002448,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=8NX8vJ7pJj/6o6M4kGWq9A==&display=all&courtType=Oneida County Supreme Court&resultsPageNum=12,1235,0
EFCA2022001356,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=lBCxGtm2eu24SkLyz2Y19Q==&display=all&courtType=Broome County Supreme Court&resultsPageNum=12,185,0
LCP0002/2022,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=d3hShB/kP9jSPdWbRrgkmQ==&display=all&courtType=Litigation Coordinating Panel (Sup Ct Rule 202.69)&resultsPageNum=12,12,0
652709/2017,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=eAzCLFIQAjQ7wQQinJthrQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,27,0
711972/2023,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=W1JYPV98MTPeuMwkiDXypw==&display=all&courtType=Queens County Supreme Court&resultsPageNum=1,6,0
CV-001480-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ps0nksZ59LFRvRfgrxrgTw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-001481-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=hyceDdTPOfeg1e_PLUS_kRKcfRw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-001482-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=xrNgW7zV5qRT4bzwlk3AJQ==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
